Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
SPY,261.2,Put,160.00,04/27/20,32,0.70,0.73,0.76,0.75,8000,114,70.18,90.99%,03/26/20
OIH,4.41,Call,6.00,09/18/20,176,0.37,0.49,0.61,0.49,5610,116,48.36,77.70%,03/26/20
EEM,35.36,Call,35.73,01/15/21,295,3.05,3.65,4.25,3.27,10001,241,41.5,25.68%,03/26/20
SPY,261.2,Put,214.00,04/09/20,14,2.61,2.65,2.69,2.55,6123,163,37.56,88.11%,03/26/20
HYG,76.83,Call,78.00,03/27/20,1,0.12,0.19,0.26,0.15,11203,353,31.74,33.79%,03/26/20
IWM,116.81,Call,135.00,01/21/22,666,5.50,8,10.50,6.50,3802,126,30.17,18.75%,03/26/20
SPY,261.2,Put,258.00,03/27/20,1,3.27,3.32,3.37,3.35,45758,1543,29.66,83.78%,03/26/20
XLF,21.67,Call,23.50,04/03/20,8,0.22,0.3,0.37,0.34,22965,810,28.35,74.37%,03/26/20
SPY,261.2,Put,228.00,04/09/20,14,4.35,4.39,4.43,4.25,12651,467,27.09,80.82%,03/26/20
SPY,261.2,Call,210.00,07/17/20,113,57.49,58.46,59.43,59.00,11141,440,25.32,48.90%,03/26/20
XLI,61.48,Put,57.00,04/17/20,22,2.20,3.48,4.75,2.65,2675,106,25.24,78.81%,03/26/20
UPRO,29.02,Put,24.00,03/27/20,1,0.10,0.18,0.25,0.25,3088,132,23.39,309.15%,03/26/20
SPY,261.2,Put,257.00,03/30/20,4,5.24,5.3,5.36,5.15,3349,154,21.75,63.08%,03/26/20
SMH,121.72,Put,111.00,03/27/20,1,0.05,0.11,0.17,0.29,2133,101,21.12,126.88%,"15:53 ET"
XLU,55.38,Call,52.00,04/24/20,29,2.50,4.75,7.00,3.45,2771,138,20.08,10.76%,03/26/20
XLE,30.39,Put,28.00,04/03/20,8,0.25,0.97,1.68,1.00,3261,163,20.01,114.56%,03/26/20
EWJ,50.24,Call,50.00,04/17/20,22,2.05,2.25,2.45,2.30,10086,549,18.37,43.94%,03/26/20
QQQ,191.55,Put,190.00,08/21/20,148,16.50,16.72,16.93,16.10,4341,253,17.16,36.09%,"16:10 ET"
SPY,261.2,Call,279.00,04/08/20,13,3.84,3.9,3.96,3.10,1713,104,16.47,47.24%,03/26/20
SPY,261.2,Put,257.00,04/01/20,6,7.34,7.4,7.46,7.25,1818,111,16.38,67.73%,03/26/20
FXI,38.35,Put,29.00,06/19/20,85,0.35,0.39,0.43,0.41,2180,135,16.15,47.92%,03/26/20
XLF,21.67,Put,21.00,03/27/20,1,0.24,0.36,0.48,0.35,7024,452,15.54,142.89%,03/26/20
XLY,101.45,Put,98.00,04/17/20,22,2.50,5,7.50,4.05,10132,665,15.24,57.85%,03/26/20
SPY,261.2,Put,255.00,03/27/20,1,2.27,2.31,2.35,2.30,104588,6994,14.95,84.86%,03/26/20
HYG,76.83,Put,74.00,04/03/20,8,1.25,1.32,1.39,1.25,1732,119,14.55,54.21%,03/26/20
EWW,30.35,Call,29.00,03/27/20,1,1.33,1.63,1.93,1.65,1485,105,14.14,129.03%,03/26/20
XLF,21.67,Call,17.00,05/15/20,50,5.10,5.45,5.80,5.15,1767,127,13.91,68.42%,03/26/20
SPY,261.2,Put,242.00,04/09/20,14,6.93,6.99,7.05,6.90,6420,464,13.84,73.28%,03/26/20
EWW,30.35,Put,29.00,04/17/20,22,1.35,1.51,1.67,1.51,2864,208,13.77,73.34%,03/26/20
SPY,261.2,Put,258.00,04/24/20,29,14.69,14.79,14.88,14.24,1775,133,13.35,53.74%,03/26/20
SPY,261.2,Put,202.00,03/31/20,5,0.18,0.19,0.20,0.20,1515,115,13.17,105.36%,03/26/20
SPY,261.2,Put,231.00,03/30/20,4,0.67,0.69,0.70,0.68,9390,714,13.15,79.82%,03/26/20
XLK,82.31,Call,87.00,01/15/21,295,4.00,6.5,9.00,6.10,4074,342,11.91,25.91%,03/26/20
SPY,261.2,Put,259.00,03/27/20,1,3.73,3.79,3.85,3.68,9419,796,11.83,81.83%,03/26/20
SPY,261.2,Put,257.00,04/03/20,8,9.04,9.09,9.14,9.05,3974,342,11.62,70.64%,03/26/20
SPY,261.2,Call,257.00,04/01/20,6,11.13,11.21,11.29,11.29,2445,212,11.53,70.63%,03/26/20
NUGT,9.05,Call,12.00,04/17/20,22,1.05,1.19,1.33,1.08,4939,442,11.17,222.65%,03/26/20
SPY,261.2,Put,243.00,03/27/20,1,0.39,0.4,0.41,0.38,29911,2681,11.16,91.17%,03/26/20
TLT,163.34,Call,170.00,04/03/20,8,0.80,0.82,0.84,0.76,19854,1792,11.08,30.10%,"16:14 ET"
SPY,261.2,Put,250.00,03/27/20,1,1.14,1.15,1.16,1.15,152867,13847,11.04,87.28%,03/26/20
UUP,26.95,Put,26.00,04/24/20,29,0.13,0.24,0.34,0.15,1337,122,10.96,16.55%,03/26/20
XLU,55.38,Call,60.00,05/15/20,50,0.15,1.27,2.39,1.71,4868,457,10.65,41.32%,03/26/20
SPY,261.2,Put,230.00,01/21/22,666,21.67,23.09,24.51,24.05,1394,133,10.48,30.68%,03/26/20
SPY,261.2,Put,255.00,03/30/20,4,4.56,4.61,4.66,4.52,7473,713,10.48,64.86%,03/26/20
SPY,261.2,Put,55.00,12/17/21,631,0.25,0.62,0.98,0.57,1455,140,10.39,57.65%,03/26/20
IWM,116.81,Put,113.00,06/19/20,85,9.28,9.4,9.51,9.04,1846,178,10.37,49.92%,03/26/20
SPY,261.2,Put,260.00,03/27/20,1,4.11,4.16,4.20,4.20,35579,3484,10.21,82.77%,03/26/20
EFA,54.41,Put,53.00,06/19/20,85,1.00,3.25,5.50,3.60,4051,401,10.1,42.20%,03/26/20
SPY,261.2,Put,258.00,03/30/20,4,5.61,5.68,5.75,5.60,3027,309,9.8,63.18%,03/26/20
SPY,261.2,Put,256.00,03/27/20,1,2.62,2.64,2.65,2.65,40868,4227,9.67,85.14%,03/26/20
