Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
PBR,10.52,Call,10.00,04/17/20,42,1.14,1.31,1.47,1.30,19536,523,37.35,73.03%,03/06/20
FRO,7.04,Call,8.00,04/17/20,42,0.40,0.45,0.50,0.45,4246,150,28.31,83.04%,03/06/20
FSLY,18.99,Put,23.00,01/15/21,315,7.40,7.6,7.80,7.80,7274,318,22.87,75.71%,03/06/20
AMD,48.59,Put,26.00,05/15/20,70,0.48,0.5,0.51,0.49,6219,285,21.82,98.57%,03/06/20
TECD,140.51,Put,140.00,03/20/20,14,1.10,1.2,1.30,1.10,4128,196,21.06,12.50%,03/06/20
NBL,13.32,Call,25.00,08/21/20,168,0.15,0.22,0.30,0.20,3040,145,20.97,60.10%,03/06/20
AZN,47.52,Put,46.00,03/20/20,14,0.90,0.98,1.05,0.95,4408,254,17.35,43.95%,03/06/20
BABA,204.64,Put,202.50,04/03/20,28,7.80,8.73,9.65,10.00,2590,161,16.09,49.54%,03/06/20
OPK,2.32,Call,3.00,03/13/20,7,0.20,0.23,0.25,0.25,18153,1143,15.88,359.98%,03/06/20
GE,9.4,Put,5.00,08/21/20,168,0.19,0.22,0.24,0.21,2042,132,15.47,79.52%,03/06/20
ERI,33.65,Put,25.00,06/19/20,105,3.40,3.75,4.10,3.90,1665,113,14.73,122.30%,03/06/20
AAL,15.97,Put,11.00,03/20/20,14,0.38,0.42,0.45,0.39,7260,504,14.4,187.73%,03/06/20
GE,9.4,Put,6.00,08/21/20,168,0.19,0.31,0.42,0.37,1338,119,11.24,74.27%,03/06/20
UBER,31.68,Put,25.00,04/17/20,42,1.03,1.05,1.06,1.03,2629,234,11.24,88.88%,03/06/20
INO,14.09,Call,15.00,03/20/20,14,3.20,3.35,3.50,3.30,5578,499,11.18,334.66%,03/06/20
ENDP,4.6,Call,5.00,03/20/20,14,0.50,0.53,0.55,0.45,1694,159,10.65,168.59%,03/06/20
DTE,116.12,Call,130.00,07/17/20,133,2.15,2.63,3.10,2.80,1651,156,10.58,26.05%,03/06/20
GSK,42.38,Put,41.00,03/20/20,14,0.50,0.98,1.45,0.50,2074,199,10.42,32.42%,03/06/20
GE,9.4,Put,6.00,09/18/20,196,0.28,0.36,0.43,0.30,1000,100,10,63.75%,03/06/20
INO,14.09,Call,16.00,03/20/20,14,2.95,3.03,3.10,3.02,2579,265,9.73,338.17%,03/06/20
DE,164.04,Put,105.00,01/15/21,315,4.10,4.5,4.90,5.25,1152,122,9.44,50.44%,03/06/20
MRNA,29.61,Call,32.00,04/17/20,42,3.70,4.05,4.40,4.00,1446,157,9.21,123.05%,03/06/20
OPK,2.32,Call,4.00,04/09/20,34,0.40,0.53,0.65,0.60,1035,114,9.08,353.49%,03/06/20
MRVL,24.09,Put,24.00,04/17/20,42,1.57,1.79,2.00,2.20,1189,131,9.08,69.72%,03/06/20
AMD,48.59,Call,52.00,04/03/20,28,1.98,2.74,3.50,2.53,5722,638,8.97,71.92%,03/06/20
CTVA,25.3,Put,24.00,03/20/20,14,0.45,0.68,0.90,0.80,1925,215,8.95,70.50%,03/06/20
WMT,117.23,Put,100.00,05/15/20,70,2.00,2.15,2.30,2.50,1595,179,8.91,45.22%,03/06/20
IQ,21.5,Call,23.00,03/13/20,7,0.30,0.41,0.52,0.35,1503,169,8.89,73.96%,03/06/20
AAL,15.97,Put,11.00,06/19/20,105,1.42,1.53,1.63,1.54,1626,183,8.89,124.75%,03/06/20
FCAU,11.83,Put,12.00,04/17/20,42,0.80,1,1.20,0.80,1301,147,8.85,44.79%,03/06/20
CCL,27.15,Put,26.50,03/13/20,7,1.15,1.4,1.65,1.40,2519,300,8.4,115.40%,03/06/20
GM,28.69,Put,28.00,03/13/20,7,0.60,0.9,1.19,0.90,832,100,8.32,77.75%,03/06/20
NYCB,11.76,Call,11.00,07/17/20,133,1.30,1.38,1.45,1.35,2165,261,8.3,32.49%,03/06/20
TWTR,33.46,Call,34.00,03/13/20,7,0.78,0.84,0.90,0.89,2489,300,8.3,61.00%,03/06/20
GILD,80.22,Call,79.00,03/13/20,7,3.30,3.5,3.70,3.35,1039,130,7.99,61.08%,03/06/20
FLR,8.85,Call,10.00,01/15/21,315,1.55,1.7,1.85,1.55,1842,231,7.97,59.21%,03/06/20
M,11.49,Put,11.00,03/13/20,7,0.33,0.43,0.52,0.33,3416,431,7.93,87.16%,03/06/20
BAC,25.71,Put,18.00,12/18/20,287,1.10,1.17,1.24,1.22,1040,132,7.88,52.75%,03/06/20
FB,181.09,Call,180.00,03/13/20,7,5.35,5.78,6.20,6.00,1348,172,7.84,54.30%,03/06/20
AAPL,289.03,Put,282.50,03/13/20,7,5.15,5.75,6.35,6.20,6250,802,7.79,57.80%,03/06/20
CZR,11.09,Put,10.00,04/24/20,49,0.59,0.67,0.75,0.68,1048,135,7.76,74.95%,03/06/20
GILD,80.22,Call,82.00,03/13/20,7,2.20,2.33,2.45,2.45,1562,207,7.55,72.67%,03/06/20
GILD,80.22,Call,82.50,05/15/20,70,6.70,7.63,8.55,7.90,1747,232,7.53,62.91%,03/06/20
DIS,115.27,Call,112.00,03/13/20,7,4.80,5.55,6.30,5.80,1238,165,7.5,62.69%,03/06/20
OPK,2.32,Call,3.00,04/03/20,28,0.55,0.58,0.60,0.60,1392,186,7.48,317.37%,03/06/20
DHI,54.8,Put,50.00,03/20/20,14,0.95,1.16,1.36,0.98,1555,208,7.48,67.12%,03/06/20
M,11.49,Put,11.50,03/13/20,7,0.63,0.66,0.69,0.65,4327,586,7.38,101.88%,03/06/20
GILD,80.22,Call,78.00,03/20/20,14,4.50,4.9,5.30,5.05,5776,787,7.34,61.79%,03/06/20
WW,28.04,Call,35.00,07/17/20,133,1.95,2.53,3.10,2.53,801,111,7.22,70.05%,03/06/20
JD,42.16,Put,36.50,03/20/20,14,0.35,0.54,0.74,0.66,785,110,7.14,83.44%,03/06/20
WMT,117.23,Put,70.00,06/19/20,105,0.52,0.63,0.73,0.63,985,140,7.04,59.63%,03/06/20
VIAC,21.57,Call,22.00,04/03/20,28,0.00,0.81,1.62,1.39,1765,254,6.95,66.02%,03/06/20
ON,17.28,Put,15.00,10/16/20,224,1.45,1.63,1.80,1.80,798,116,6.88,57.04%,03/06/20
KR,32.04,Call,32.50,03/20/20,14,0.05,1.97,3.90,0.95,883,129,6.84,45.98%,03/06/20
GILD,80.22,Call,82.50,04/17/20,42,5.40,5.6,5.80,5.50,2167,317,6.84,59.40%,03/06/20
GE,9.4,Put,6.00,06/19/20,105,0.17,0.25,0.32,0.30,4364,645,6.77,86.66%,03/06/20
VZ,56.87,Put,56.50,03/13/20,7,0.94,2.97,5.00,1.48,705,105,6.71,53.18%,03/06/20
VIAC,21.57,Put,15.00,09/18/20,196,0.74,0.98,1.22,1.10,1407,210,6.7,66.28%,03/06/20
TECK,10.51,Call,10.00,08/21/20,168,1.88,1.96,2.05,2.05,817,124,6.59,63.80%,03/06/20
KMX,85,Call,85.00,04/17/20,42,6.10,6.55,7.00,6.40,1496,230,6.5,55.23%,03/06/20
TDOC,135.9,Call,165.00,03/20/20,14,1.30,1.45,1.60,1.60,1507,232,6.5,86.58%,03/06/20
SABR,10.15,Call,12.50,03/20/20,14,0.15,0.18,0.20,0.20,1521,235,6.47,107.16%,03/06/20
VIAC,21.57,Call,21.50,03/20/20,14,1.17,1.33,1.49,1.26,937,145,6.46,72.55%,03/06/20
OPK,2.32,Call,4.00,03/20/20,14,0.30,0.3,0.30,0.30,8052,1246,6.46,382.86%,03/06/20
CRWD,51.96,Put,35.00,07/17/20,133,1.55,1.68,1.80,1.80,772,121,6.38,72.52%,03/06/20
MSFT,161.57,Put,145.00,03/13/20,7,1.26,1.78,2.30,1.77,6131,966,6.35,85.58%,03/06/20
BAC,25.71,Call,25.50,03/13/20,7,1.07,1.12,1.16,1.14,1785,284,6.29,72.73%,03/06/20
UBER,31.68,Call,32.00,03/13/20,7,1.10,1.4,1.70,1.36,2227,355,6.27,85.96%,03/06/20
INO,14.09,Put,10.00,03/20/20,14,1.80,1.83,1.85,1.85,1312,214,6.13,387.46%,03/06/20
AXP,108.24,Call,111.00,03/13/20,7,2.15,2.58,3.00,1.84,943,156,6.04,49.74%,03/06/20
PBR,10.52,Call,12.00,07/17/20,133,0.75,2.63,4.50,0.77,2360,393,6.01,50.77%,03/06/20
GS,192.85,Put,160.00,03/20/20,14,1.94,2.36,2.78,1.95,1552,259,5.99,85.60%,03/06/20
OPK,2.32,Call,3.00,04/17/20,42,0.60,0.68,0.75,0.70,5098,851,5.99,291.48%,03/06/20
AAL,15.97,Put,11.00,03/13/20,7,0.20,0.21,0.22,0.22,1253,212,5.91,221.83%,03/06/20
FB,181.09,Call,185.00,03/13/20,7,2.56,3.05,3.55,2.90,4420,749,5.9,45.26%,03/06/20
AMAT,57.79,Put,43.00,04/17/20,42,0.72,0.79,0.86,0.80,1740,299,5.82,76.30%,03/06/20
PFE,35.02,Put,33.50,03/20/20,14,0.50,0.6,0.69,0.90,4928,852,5.78,57.90%,03/06/20
RCL,65.01,Call,70.00,03/13/20,7,1.75,2.45,3.15,2.15,612,106,5.77,112.09%,03/06/20
FB,181.09,Call,182.50,03/13/20,7,3.20,4.23,5.25,4.00,1063,187,5.68,46.32%,03/06/20
CVS,64.15,Call,64.00,03/13/20,7,1.92,2.08,2.24,2.09,1068,190,5.62,56.70%,03/06/20
BAC,25.71,Put,22.00,03/13/20,7,0.24,0.29,0.33,0.25,1899,340,5.59,105.05%,03/06/20
TSLA,703.48,Put,680.00,03/27/20,21,46.70,51.2,55.70,50.50,1043,187,5.58,93.52%,03/06/20
TRXC,0.44,Call,1.00,01/15/21,315,0.15,0.18,0.20,0.15,973,178,5.47,155.77%,03/06/20
XOM,47.69,Put,42.50,06/19/20,105,2.68,2.92,3.15,2.80,1693,320,5.29,52.41%,03/06/20
FCX,9.43,Call,10.00,06/19/20,105,1.16,1.17,1.19,1.18,33721,6385,5.28,69.39%,03/06/20
IBM,127.73,Put,127.00,03/13/20,7,2.20,3.7,5.20,2.80,701,133,5.27,45.00%,03/06/20
NEPT,1.99,Call,3.00,01/21/22,686,0.45,0.48,0.50,0.50,3380,644,5.25,69.72%,03/06/20
NFLX,368.97,Call,365.00,03/13/20,7,14.00,14.35,14.70,14.70,727,139,5.23,62.01%,03/06/20
NFLX,368.97,Call,385.00,03/13/20,7,3.90,4.7,5.50,5.10,2044,394,5.19,54.43%,03/06/20
DELL,39.62,Call,40.00,04/17/20,42,2.90,3.2,3.50,2.80,962,187,5.14,55.03%,03/06/20
MSFT,161.57,Call,162.50,03/13/20,7,4.75,5.13,5.50,5.25,2679,526,5.09,63.53%,03/06/20
OXY,26.86,Call,28.00,03/13/20,7,0.72,0.74,0.75,0.70,516,102,5.06,78.00%,03/06/20
MSFT,161.57,Put,121.00,03/20/20,14,0.35,0.72,1.08,0.60,1052,211,4.99,92.88%,03/06/20
GILD,80.22,Put,75.00,03/13/20,7,1.14,1.28,1.41,1.25,1256,252,4.98,74.99%,03/06/20
UAL,52.1,Put,30.00,05/15/20,70,2.40,2.48,2.56,2.52,624,126,4.95,143.98%,03/06/20
DIS,115.27,Put,103.00,03/13/20,7,0.75,0.84,0.93,0.89,961,196,4.9,77.71%,03/06/20
CPB,51.76,Put,51.00,03/20/20,14,1.05,1.7,2.35,1.35,502,103,4.87,42.71%,03/06/20
PENN,23.91,Call,27.00,03/20/20,14,0.55,0.68,0.80,0.70,2526,522,4.84,93.01%,03/06/20
CCL,27.15,Call,30.00,03/13/20,7,0.35,0.43,0.50,0.45,565,117,4.83,91.93%,03/06/20
FCX,9.43,Put,8.50,03/20/20,14,0.29,0.31,0.32,0.34,1157,243,4.76,101.88%,03/06/20
GIS,54.77,Call,60.00,03/20/20,14,0.26,0.31,0.35,0.34,6681,1404,4.76,42.75%,03/06/20
KO,55.26,Put,54.50,03/13/20,7,1.15,1.27,1.39,1.25,689,145,4.75,53.02%,03/06/20
