Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
CHK,0.45,Put,1.50,03/20/20,28,1.05,1.07,1.08,1.06,10872,204,53.29,265.10%,02/21/20
PDD,34.57,Put,35.50,03/06/20,14,1.55,1.75,1.95,1.85,4078,153,26.65,49.36%,02/21/20
WEN,23.94,Call,26.00,03/20/20,28,0.35,0.38,0.40,0.40,4987,198,25.19,41.25%,02/21/20
MSFT,178.59,Call,177.50,02/21/20,0,1.04,1.11,1.17,1.03,6059,265,22.86,0.00%,02/21/20
MNK,5.12,Put,7.00,03/20/20,28,1.05,1.98,2.90,2.45,2262,105,21.54,199.59%,"15:14 ET"
UPS,102.94,Call,110.00,03/27/20,35,0.85,0.9,0.94,0.93,5485,257,21.34,24.98%,02/21/20
WEN,23.94,Call,25.00,03/20/20,28,0.55,0.58,0.60,0.60,8282,446,18.57,38.22%,02/21/20
GILD,69.7,Call,70.00,04/03/20,42,2.57,2.84,3.10,3.15,2167,117,18.52,34.15%,02/21/20
GRPN,1.65,Call,1.50,04/03/20,42,0.30,0.31,0.32,0.31,6960,378,18.41,106.38%,02/21/20
AMRN,17.93,Call,22.00,03/06/20,14,0.52,0.57,0.62,0.60,2742,149,18.4,129.64%,02/21/20
LLNW,5.85,Call,7.00,03/20/20,28,0.20,0.25,0.30,0.20,3159,187,16.89,86.02%,02/21/20
BP,35.36,Call,36.00,03/06/20,14,0.29,0.3,0.31,0.28,2209,133,16.61,19.07%,02/21/20
A,85.07,Call,92.50,03/20/20,28,0.21,0.24,0.26,0.22,2291,175,13.09,21.98%,02/21/20
ZNGA,7.13,Put,7.00,02/28/20,7,0.10,0.11,0.12,0.12,4120,338,12.19,45.75%,02/21/20
DBX,22.45,Call,23.50,02/28/20,7,0.35,0.4,0.45,0.40,1203,106,11.35,64.44%,02/21/20
MS,52.42,Call,52.00,02/28/20,7,0.95,0.99,1.03,0.97,1482,134,11.06,25.30%,02/21/20
