Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
LNG,45.98,Put,45.00,04/17/20,43,2.75,3.05,3.35,3.20,7189,144,49.92,59.68%,03/05/20
WORK,28.39,Call,32.00,03/06/20,1,0.05,0.08,0.10,0.10,6603,148,44.61,165.63%,03/05/20
HST,13.15,Put,13.00,04/17/20,43,0.95,1,1.05,1.00,7544,182,41.45,60.75%,03/05/20
GE,10.08,Call,10.00,03/13/20,8,0.47,0.49,0.51,0.45,10386,493,21.07,68.67%,03/05/20
BA,260.37,Call,270.00,03/06/20,1,2.19,2.34,2.50,2.40,3416,167,20.46,108.88%,03/05/20
AAL,16.04,Put,12.00,06/19/20,106,1.50,1.56,1.62,1.51,2318,119,19.48,106.64%,03/05/20
UAL,51.59,Call,55.00,03/06/20,1,0.35,0.58,0.80,0.50,5440,312,17.44,151.30%,03/05/20
HSBC,32.73,Put,23.00,06/19/20,106,0.44,0.45,0.47,0.48,11228,672,16.71,56.17%,03/05/20
CGC,16.8,Call,17.50,03/13/20,8,0.50,0.54,0.59,0.50,4325,286,15.12,79.00%,03/05/20
WYNN,95.58,Call,105.00,09/18/20,197,10.45,10.95,11.45,10.81,11537,774,14.91,50.50%,03/05/20
AAL,16.04,Put,12.00,03/20/20,15,0.35,0.4,0.45,0.43,3220,218,14.77,157.15%,03/05/20
MRO,7.8,Call,8.50,03/20/20,15,0.25,0.27,0.29,0.27,3994,272,14.68,83.44%,03/05/20
KHC,26.65,Call,27.00,03/20/20,15,0.51,0.55,0.60,0.55,9694,676,14.34,32.46%,03/05/20
BAC,26.78,Call,27.00,03/06/20,1,0.26,0.29,0.31,0.30,12037,857,14.05,71.23%,03/05/20
MGM,20.6,Put,20.50,03/06/20,1,0.55,0.63,0.70,0.63,7033,502,14.01,158.34%,03/05/20
COST,315.76,Call,350.00,03/13/20,8,1.37,1.51,1.65,1.39,3167,239,13.25,55.56%,03/05/20
HTZ,9.77,Put,9.00,03/20/20,15,0.50,0.58,0.65,0.60,1751,136,12.88,123.92%,03/05/20
MGM,20.6,Put,20.00,03/13/20,8,1.20,1.32,1.44,1.37,1781,141,12.63,138.37%,03/05/20
HAL,14.74,Put,14.50,03/06/20,1,0.22,0.27,0.32,0.25,1572,126,12.48,117.13%,03/05/20
BA,260.37,Call,265.00,03/06/20,1,3.55,4.03,4.50,4.40,1642,138,11.9,117.57%,03/05/20
JPM,113.97,Put,113.00,03/13/20,8,3.20,3.3,3.40,3.65,1297,111,11.68,61.72%,03/05/20
PENN,22.85,Call,26.00,03/20/20,15,0.50,0.58,0.65,0.60,1860,173,10.75,88.09%,03/05/20
