Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
AMBA,43.97,Call,80.00,01/15/21,310,1.00,1.95,2.90,0.75,30005,147,204.12,43.66%,"16:10 ET"
TWTR,31.3,Put,28.00,04/17/20,37,1.45,1.49,1.53,1.54,100852,535,188.51,77.56%,03/11/20
CNK,19.49,Put,15.00,04/17/20,37,1.25,1.4,1.55,1.35,17700,123,143.9,143.49%,03/11/20
CC,10.66,Put,8.00,01/15/21,310,2.00,2.13,2.25,2.15,94977,789,120.38,102.38%,03/11/20
ETSY,50.23,Put,45.00,04/17/20,37,2.35,2.43,2.50,2.41,17309,162,106.85,75.98%,"16:11 ET"
OXY,11.8,Put,10.00,03/20/20,9,0.60,0.63,0.66,0.65,10508,119,88.3,201.45%,03/11/20
AMBA,43.97,Call,65.00,01/15/21,310,2.60,2.9,3.20,2.95,41010,575,71.32,51.28%,"16:10 ET"
IBN,11.99,Put,11.00,04/17/20,37,0.45,0.56,0.66,0.56,10104,161,62.76,67.44%,03/11/20
WFC,32.33,Put,20.00,01/15/21,310,1.71,1.77,1.83,1.70,6556,125,52.45,64.81%,03/11/20
TWTR,31.3,Put,26.00,04/17/20,37,0.80,0.99,1.18,0.93,8304,186,44.65,78.34%,03/11/20
MU,43.72,Put,40.00,04/09/20,29,2.76,2.96,3.15,2.99,5195,147,35.34,98.78%,"15:52 ET"
INO,8.37,Call,22.00,04/17/20,37,1.30,1.45,1.60,1.55,4142,121,34.23,357.79%,"16:12 ET"
TRIP,18.23,Put,16.50,01/15/21,310,3.50,3.9,4.30,3.97,10048,301,33.38,78.34%,"15:38 ET"
C,50.79,Call,70.00,07/17/20,128,0.60,0.86,1.12,0.75,7938,258,30.77,42.61%,03/11/20
LYFT,29.01,Put,31.00,03/13/20,2,2.25,3.68,5.10,2.79,3047,102,29.87,181.22%,"16:13 ET"
OXY,11.8,Call,14.00,03/20/20,9,0.55,0.62,0.68,0.60,4613,164,28.13,179.14%,03/11/20
HBAN,9.13,Call,10.00,03/20/20,9,0.10,0.13,0.16,0.11,2641,104,25.39,67.47%,"15:43 ET"
NWL,13.63,Put,5.00,01/15/21,310,0.00,0.25,0.50,0.50,5004,200,25.02,101.04%,"16:05 ET"
KO,52.21,Put,35.00,04/17/20,37,0.23,0.27,0.31,0.32,2595,108,24.03,83.28%,03/11/20
NLY,7.98,Put,7.00,04/17/20,37,0.30,0.4,0.50,0.45,5080,214,23.74,90.38%,03/11/20
WMT,114.43,Call,130.00,05/15/20,65,1.05,1.1,1.15,1.16,3320,142,23.38,28.79%,03/11/20
AIG,32.43,Put,20.00,01/15/21,310,1.58,1.69,1.80,1.79,5834,253,23.06,66.43%,03/11/20
OXY,11.8,Put,14.00,03/13/20,2,2.02,2.26,2.49,2.40,3409,148,23.03,238.75%,03/11/20
LYFT,29.01,Call,32.00,03/13/20,2,0.15,0.58,1.00,0.34,3958,182,21.75,148.31%,"15:53 ET"
TGNA,16.02,Call,20.00,04/17/20,37,0.30,0.53,0.75,0.60,10023,463,21.65,87.24%,03/11/20
CWH,7.62,Put,10.00,06/19/20,100,3.50,3.6,3.70,3.60,5019,237,21.18,124.60%,03/11/20
ALLY,20.72,Call,22.00,03/20/20,9,0.50,0.58,0.65,0.60,2805,137,20.47,84.07%,03/11/20
BA,189.08,Call,200.00,03/13/20,2,3.80,4.15,4.50,4.50,4582,224,20.46,155.25%,03/11/20
LYFT,29.01,Put,32.00,03/13/20,2,3.30,4.07,4.85,3.80,2066,103,20.06,217.25%,"16:03 ET"
MU,43.72,Put,43.00,03/20/20,9,2.37,2.46,2.54,2.39,2329,119,19.57,101.04%,"16:04 ET"
CAT,100.69,Call,110.00,03/20/20,9,0.21,1.22,2.22,1.35,2224,117,19.01,69.26%,03/11/20
MU,43.72,Call,45.00,03/13/20,2,0.83,0.94,1.05,0.99,3536,189,18.71,118.01%,"16:14 ET"
PK,11.98,Put,12.50,04/17/20,37,1.30,1.9,2.50,2.00,3537,191,18.52,112.38%,03/11/20
V,172.95,Put,160.00,03/27/20,16,4.30,4.82,5.35,4.95,2708,147,18.42,73.25%,03/11/20
MU,43.72,Call,44.00,03/13/20,2,1.46,1.51,1.56,1.46,1836,100,18.36,123.16%,"16:15 ET"
LK,34.4,Put,36.00,03/27/20,16,3.70,4.05,4.40,4.00,4855,269,18.05,107.32%,"16:05 ET"
PBR,6.85,Put,11.00,09/18/20,191,3.60,4.3,5.00,4.18,5000,280,17.86,45.96%,03/11/20
MT,10.2,Put,9.00,03/20/20,9,0.06,0.28,0.49,0.33,2301,129,17.84,131.79%,03/11/20
PINS,15.45,Call,15.00,04/17/20,37,1.80,1.9,2.00,1.95,4873,276,17.66,88.52%,03/11/20
DIS,105.51,Put,90.00,10/16/20,219,7.55,7.85,8.15,7.90,3094,179,17.28,48.88%,03/11/20
MU,43.72,Call,55.00,04/03/20,23,0.62,0.67,0.72,0.68,10616,615,17.26,82.19%,"16:14 ET"
TWTR,31.3,Call,32.50,03/13/20,2,0.50,0.54,0.59,0.57,2376,138,17.22,112.92%,03/11/20
GGB,2.72,Put,3.00,09/18/20,191,0.50,0.65,0.80,0.75,1714,100,17.14,75.29%,03/11/20
