Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
ET,11.54,Call,10.50,03/06/20,2,1.04,1.14,1.24,1.05,5612,916,6.13,72.14%,03/04/20
ET,11.54,Put,10.00,05/15/20,72,0.30,0.39,0.47,0.46,2502,409,6.12,56.25%,03/04/20
ATVI,62.55,Call,50.00,05/15/20,72,12.90,13.1,13.30,12.65,851,140,6.08,18.17%,03/04/20
BAC,28.39,Call,28.50,03/13/20,9,0.55,0.57,0.58,0.56,5691,937,6.07,34.12%,03/04/20
JNJ,143.48,Put,141.00,03/20/20,16,1.97,2.18,2.39,2.52,856,142,6.03,30.89%,03/04/20
AXP,115.7,Put,114.00,03/06/20,2,0.96,1.11,1.25,1.00,768,128,6,50.77%,03/04/20
BYND,101.89,Call,103.00,03/13/20,9,3.45,3.68,3.90,3.70,660,111,5.95,65.68%,03/04/20
TGT,107.82,Put,106.00,03/06/20,2,0.59,0.66,0.73,0.62,3992,672,5.94,42.48%,03/04/20
BYND,101.89,Call,102.00,03/13/20,9,3.90,4.1,4.30,4.15,640,108,5.93,65.56%,03/04/20
BYND,101.89,Put,99.00,03/06/20,2,1.20,1.25,1.30,1.20,987,171,5.77,80.03%,03/04/20
CWH,12.25,Put,12.00,03/20/20,16,0.70,0.8,0.90,0.80,615,108,5.69,91.37%,03/04/20
ALK,49.69,Put,40.00,01/15/21,317,2.60,3.3,4.00,4.00,740,130,5.69,49.69%,03/04/20
UNP,162.17,Call,167.50,03/06/20,2,0.01,0.2,0.39,0.37,756,133,5.68,41.02%,03/04/20
CVS,66.04,Put,64.00,03/06/20,2,0.00,0.36,0.72,0.25,2120,375,5.65,48.91%,03/04/20
AMRN,16.02,Call,34.00,06/19/20,107,0.31,0.4,0.48,0.50,630,114,5.53,101.59%,03/04/20
UNH,289.42,Call,315.00,03/20/20,16,0.42,0.68,0.95,0.90,839,152,5.52,30.97%,03/04/20
CLX,172.52,Call,170.00,03/13/20,9,4.50,5.05,5.60,5.60,900,164,5.49,38.96%,03/04/20
TGT,107.82,Call,108.00,03/20/20,16,2.54,2.62,2.69,2.43,2045,378,5.41,27.53%,03/04/20
SNAP,13.63,Put,13.50,03/13/20,9,0.47,0.49,0.50,0.52,578,107,5.4,68.92%,03/04/20
AMBA,55.18,Call,58.00,03/06/20,2,0.15,0.6,1.05,0.60,658,123,5.35,97.97%,03/04/20
CPB,52.72,Call,52.00,03/06/20,2,0.85,1.15,1.45,0.80,744,139,5.35,20.23%,03/04/20
QCOM,81.8,Put,81.00,03/06/20,2,0.64,1.92,3.20,0.92,1148,216,5.31,53.40%,03/04/20
SLB,27.08,Call,28.50,03/20/20,16,0.51,0.57,0.62,0.54,3382,637,5.31,47.48%,03/04/20
NKE,93.79,Put,92.00,03/06/20,2,0.04,1.26,2.48,0.60,1092,209,5.22,47.65%,03/04/20
UNH,289.42,Call,300.00,03/13/20,9,2.49,3.12,3.75,3.55,761,147,5.18,41.57%,03/04/20
AAL,18.53,Call,18.00,03/06/20,2,0.96,1.01,1.05,1.00,3653,705,5.18,130.29%,03/04/20
UNH,289.42,Put,267.50,03/13/20,9,2.23,2.49,2.75,2.75,516,100,5.16,58.51%,03/04/20
UNH,289.42,Put,280.00,03/06/20,2,1.57,1.83,2.08,1.40,849,166,5.11,55.72%,03/04/20
SBUX,79.67,Call,81.00,03/06/20,2,0.50,0.54,0.58,0.57,1933,379,5.1,46.71%,03/04/20
BYND,101.89,Call,106.00,03/13/20,9,2.42,2.69,2.95,2.70,626,124,5.05,68.24%,03/04/20
UNH,289.42,Call,297.50,03/20/20,16,4.75,5,5.25,4.95,814,165,4.93,33.86%,03/04/20
DIS,119.18,Put,108.00,03/13/20,9,0.36,0.49,0.61,0.50,588,120,4.9,51.79%,03/04/20
TWTR,36,Call,35.50,04/03/20,30,1.96,2.07,2.17,1.95,563,116,4.85,40.68%,03/04/20
BILI,27.55,Call,35.00,08/21/20,170,2.55,2.72,2.90,2.65,2061,428,4.82,65.85%,03/04/20
AMZN,1975.83,Put,1930.00,03/06/20,2,7.50,8.25,9.00,9.00,1598,333,4.8,44.60%,03/04/20
M,12.66,Call,12.50,03/06/20,2,0.30,0.34,0.38,0.28,3178,666,4.77,50.77%,03/04/20
JBLU,15.54,Call,17.00,06/19/20,107,1.10,1.18,1.25,1.15,910,191,4.76,50.20%,03/04/20
AMZN,1975.83,Put,1850.00,03/06/20,2,1.30,1.57,1.83,1.50,3770,796,4.74,53.42%,03/04/20
DEAC,18.69,Call,17.50,04/17/20,44,2.40,2.63,2.85,2.60,994,211,4.71,77.17%,03/04/20
SBUX,79.67,Put,70.00,07/17/20,135,2.41,2.53,2.64,2.58,6358,1359,4.68,35.49%,03/04/20
TSLA,749.5,Call,830.00,03/06/20,2,1.90,1.95,2.00,2.00,3907,844,4.63,97.14%,03/04/20
KR,30.96,Call,32.00,03/06/20,2,0.42,0.53,0.64,0.50,1081,235,4.6,99.84%,03/04/20
TSLA,749.5,Call,735.00,03/06/20,2,24.95,27.08,29.20,27.00,1982,432,4.59,85.91%,03/04/20
TSLA,749.5,Put,720.00,03/06/20,2,8.20,8.6,9.00,8.50,4439,968,4.59,91.67%,03/04/20
TOT,44.83,Put,37.50,08/21/20,170,0.90,1,1.10,1.05,739,162,4.56,33.01%,03/04/20
AXDX,13.26,Call,15.00,04/17/20,44,0.60,0.7,0.80,0.65,1791,393,4.56,68.49%,03/04/20
BABA,211.96,Call,220.00,10/16/20,226,17.45,17.92,18.40,17.15,878,195,4.5,29.58%,03/04/20
TSLA,749.5,Call,800.00,03/06/20,2,4.05,4.1,4.15,4.15,44553,9920,4.49,87.61%,03/04/20
CVET,11.32,Call,15.00,03/20/20,16,0.00,0.1,0.20,0.15,598,134,4.46,107.80%,03/04/20
MEET,6.82,Call,8.00,03/20/20,16,0.15,0.2,0.25,0.20,1251,281,4.45,100.19%,03/04/20
TSLA,749.5,Call,835.00,03/06/20,2,1.59,1.79,1.99,1.75,1971,446,4.42,98.28%,03/04/20
MGM,23.3,Put,22.00,04/17/20,44,1.50,1.57,1.63,1.58,22372,5110,4.38,69.96%,03/04/20
GM,31.53,Call,33.00,09/18/20,198,1.55,1.76,1.97,1.72,1077,248,4.34,23.96%,03/04/20
UNH,289.42,Call,310.00,03/06/20,2,0.09,0.12,0.14,0.13,1507,347,4.34,49.48%,03/04/20
BIDU,121.41,Call,125.00,03/13/20,9,1.53,1.67,1.80,1.52,716,168,4.26,38.35%,03/04/20
REGN,493.48,Call,500.00,03/06/20,2,5.00,5.5,6.00,5.20,1304,307,4.25,54.71%,03/04/20
SLB,27.08,Call,28.00,03/20/20,16,0.69,0.75,0.80,0.62,1217,288,4.23,43.79%,03/04/20
HAL,15.39,Put,12.50,04/17/20,44,0.23,0.25,0.26,0.24,659,156,4.22,60.35%,03/04/20
BABA,211.96,Call,230.00,10/16/20,226,13.30,13.63,13.95,13.50,528,126,4.19,29.62%,03/04/20
INO,8.02,Put,7.00,03/20/20,16,1.45,1.58,1.70,1.50,1074,257,4.18,320.61%,03/04/20
HQY,69.29,Put,65.00,09/18/20,198,7.00,7.2,7.40,7.40,551,133,4.14,49.38%,03/04/20
M,12.66,Call,12.00,03/20/20,16,0.77,0.83,0.89,0.76,2090,505,4.14,31.15%,03/04/20
MPC,45.88,Put,42.50,03/20/20,16,0.82,0.9,0.98,1.01,507,123,4.12,63.20%,03/04/20
ROKU,109.61,Call,108.00,03/06/20,2,1.87,2.84,3.80,3.60,964,234,4.12,84.47%,03/04/20
NRZ,16.44,Put,15.00,04/17/20,44,0.20,0.25,0.30,0.30,522,127,4.11,38.57%,03/04/20
CAT,127.4,Call,129.00,03/06/20,2,0.51,0.73,0.95,0.63,1123,274,4.1,33.53%,03/04/20
CVS,66.04,Call,75.00,04/17/20,44,0.12,0.31,0.50,0.46,524,128,4.09,31.06%,03/04/20
