Date Inserted,Symbol,Price,Type,Strike,Exp Date,DTE,Bid,Midpoint,Ask,Last,Volume,Open Int,Vol/OI,IV,Time
2020-03-05,LNG,45.98,Put,45.0,2020-04-17,43.0,2.75,3.05,3.35,3.2,7189.0,144.0,49.92,59.68,00:00
2020-03-05,WORK,28.39,Call,32.0,2020-03-06,1.0,0.05,0.08,0.1,0.1,6603.0,148.0,44.61,165.63,00:00
2020-03-05,HST,13.15,Put,13.0,2020-04-17,43.0,0.95,1.0,1.05,1.0,7544.0,182.0,41.45,60.75,00:00
2020-03-05,GE,10.08,Call,10.0,2020-03-13,8.0,0.47,0.49,0.51,0.45,10386.0,493.0,21.07,68.67,00:00
2020-03-05,BA,260.37,Call,270.0,2020-03-06,1.0,2.19,2.34,2.5,2.4,3416.0,167.0,20.46,108.88,00:00
2020-03-05,AAL,16.04,Put,12.0,2020-06-19,106.0,1.5,1.56,1.62,1.51,2318.0,119.0,19.48,106.64,00:00
2020-03-05,UAL,51.59,Call,55.0,2020-03-06,1.0,0.35,0.58,0.8,0.5,5440.0,312.0,17.44,151.3,00:00
2020-03-05,HSBC,32.73,Put,23.0,2020-06-19,106.0,0.44,0.45,0.47,0.48,11228.0,672.0,16.71,56.17,00:00
2020-03-05,CGC,16.8,Call,17.5,2020-03-13,8.0,0.5,0.54,0.59,0.5,4325.0,286.0,15.12,79.0,00:00
2020-03-05,WYNN,95.58,Call,105.0,2020-09-18,197.0,10.45,10.95,11.45,10.81,11537.0,774.0,14.91,50.5,00:00
2020-03-05,AAL,16.04,Put,12.0,2020-03-20,15.0,0.35,0.4,0.45,0.43,3220.0,218.0,14.77,157.15,00:00
2020-03-05,MRO,7.8,Call,8.5,2020-03-20,15.0,0.25,0.27,0.29,0.27,3994.0,272.0,14.68,83.44,00:00
2020-03-05,KHC,26.65,Call,27.0,2020-03-20,15.0,0.51,0.55,0.6,0.55,9694.0,676.0,14.34,32.46,00:00
2020-03-05,BAC,26.78,Call,27.0,2020-03-06,1.0,0.26,0.29,0.31,0.3,12037.0,857.0,14.05,71.23,00:00
2020-03-05,MGM,20.6,Put,20.5,2020-03-06,1.0,0.55,0.63,0.7,0.63,7033.0,502.0,14.01,158.34,00:00
2020-03-05,COST,315.76,Call,350.0,2020-03-13,8.0,1.37,1.51,1.65,1.39,3167.0,239.0,13.25,55.56,00:00
2020-03-05,HTZ,9.77,Put,9.0,2020-03-20,15.0,0.5,0.58,0.65,0.6,1751.0,136.0,12.88,123.92,00:00
2020-03-05,MGM,20.6,Put,20.0,2020-03-13,8.0,1.2,1.32,1.44,1.37,1781.0,141.0,12.63,138.37,00:00
2020-03-05,HAL,14.74,Put,14.5,2020-03-06,1.0,0.22,0.27,0.32,0.25,1572.0,126.0,12.48,117.13,00:00
2020-03-05,BA,260.37,Call,265.0,2020-03-06,1.0,3.55,4.03,4.5,4.4,1642.0,138.0,11.9,117.57,00:00
2020-03-05,JPM,113.97,Put,113.0,2020-03-13,8.0,3.2,3.3,3.4,3.65,1297.0,111.0,11.68,61.72,00:00
2020-03-05,PENN,22.85,Call,26.0,2020-03-20,15.0,0.5,0.58,0.65,0.6,1860.0,173.0,10.75,88.09,00:00
2020-03-05,STX,50.27,Put,50.0,2020-09-18,197.0,5.85,6.28,6.7,6.45,1572.0,147.0,10.69,46.62,00:00
2020-03-05,OPK,2.06,Call,2.0,2020-03-27,22.0,0.5,0.55,0.6,0.6,1180.0,113.0,10.44,292.25,00:00
2020-03-05,SPLK,141.45,Call,148.0,2020-03-06,1.0,0.15,0.28,0.4,0.25,1380.0,133.0,10.38,68.04,16:13
2020-03-05,EBAY,37.22,Put,36.0,2020-05-15,71.0,1.77,1.91,2.04,1.9,3927.0,381.0,10.31,39.06,00:00
2020-03-05,XOM,50.11,Put,42.5,2020-03-20,15.0,0.45,0.46,0.48,0.48,7034.0,682.0,10.31,74.4,00:00
2020-03-05,EPD,23.67,Call,25.0,2020-03-13,8.0,0.2,0.38,0.55,0.25,1165.0,115.0,10.13,50.66,00:00
2020-03-05,LB,23.31,Put,25.0,2020-04-17,43.0,3.0,3.05,3.1,3.1,1744.0,173.0,10.08,66.14,00:00
2020-03-05,BAC,26.78,Put,25.5,2020-03-13,8.0,0.51,0.54,0.56,0.62,3366.0,336.0,10.02,74.65,00:00
2020-03-05,OPK,2.06,Call,3.0,2020-03-20,15.0,0.25,0.28,0.3,0.3,2618.0,264.0,9.92,336.15,00:00
2020-03-05,GM,30.1,Put,18.0,2020-06-19,106.0,0.17,0.25,0.32,0.22,3181.0,323.0,9.85,63.35,00:00
2020-03-05,IGT,8.58,Put,8.0,2020-04-17,43.0,0.6,0.68,0.75,0.65,1245.0,128.0,9.73,81.13,00:00
2020-03-05,HAL,14.74,Put,13.0,2020-10-16,225.0,1.48,1.51,1.54,1.53,1043.0,118.0,8.84,54.73,00:00
2020-03-05,STNG,16.54,Put,15.0,2020-07-17,134.0,2.2,2.58,2.95,2.86,1316.0,150.0,8.77,96.53,00:00
2020-03-05,BCS,6.89,Put,6.0,2020-06-19,106.0,0.2,0.28,0.35,0.3,1500.0,171.0,8.77,47.92,00:00
2020-03-05,TWTR,34.97,Put,32.0,2020-03-13,8.0,0.37,0.41,0.45,0.4,2348.0,272.0,8.63,71.87,00:00
2020-03-05,MGM,20.6,Put,21.0,2020-03-06,1.0,0.8,0.86,0.92,0.8,2030.0,237.0,8.57,133.27,00:00
2020-03-05,DIS,113.98,Call,113.0,2020-03-06,1.0,1.79,2.05,2.32,2.09,1894.0,224.0,8.46,65.33,00:00
2020-03-05,OPK,2.06,Call,2.0,2020-03-13,8.0,0.4,0.43,0.45,0.4,5873.0,711.0,8.26,310.44,00:00
2020-03-05,KHC,26.65,Call,27.0,2020-03-06,1.0,0.11,0.15,0.18,0.15,7978.0,968.0,8.24,52.11,00:00
2020-03-05,GM,30.1,Call,30.5,2020-03-06,1.0,0.0,0.14,0.28,0.2,1158.0,141.0,8.21,57.73,00:00
2020-03-05,CCL,27.87,Put,28.0,2020-03-20,15.0,2.25,2.35,2.45,2.4,2494.0,312.0,7.99,103.96,00:00
2020-03-05,KSS,34.14,Call,37.5,2020-03-20,15.0,0.5,0.55,0.6,0.55,1450.0,182.0,7.97,59.81,00:00
2020-03-05,LULU,221.19,Put,195.0,2020-04-17,43.0,7.75,8.18,8.6,8.75,929.0,117.0,7.94,67.58,00:00
2020-03-05,MRVL,24.93,Call,25.5,2020-03-06,1.0,0.03,0.1,0.17,0.12,2386.0,302.0,7.9,62.52,00:00
2020-03-05,ENDP,4.99,Call,6.0,2020-03-20,15.0,0.3,0.4,0.5,0.35,3819.0,508.0,7.52,169.65,00:00
2020-03-05,BABA,211.46,Put,55.0,2021-01-15,316.0,0.12,0.16,0.2,0.11,2213.0,297.0,7.45,58.28,00:00
2020-03-05,AAL,16.04,Call,17.5,2020-03-06,1.0,0.08,0.1,0.11,0.11,6661.0,896.0,7.43,160.85,00:00
2020-03-05,SPLK,141.45,Put,125.0,2020-04-17,43.0,3.5,4.1,4.7,4.5,853.0,115.0,7.42,59.78,16:12
2020-03-05,LYFT,37.08,Put,35.0,2020-04-09,35.0,2.15,2.22,2.29,2.29,934.0,126.0,7.41,73.12,00:00
2020-03-05,TLRY,11.2,Call,12.5,2020-03-13,8.0,0.16,0.3,0.44,0.35,1046.0,142.0,7.37,120.95,00:00
2020-03-05,VIRT,23.37,Call,25.0,2020-04-17,43.0,1.0,1.13,1.25,1.15,1266.0,175.0,7.23,55.54,00:00
2020-03-05,BAC,26.78,Call,27.0,2020-03-13,8.0,0.81,0.83,0.84,0.83,3631.0,503.0,7.22,58.69,00:00
2020-03-05,SBUX,76.19,Call,80.0,2020-05-15,71.0,3.35,3.48,3.6,3.4,2238.0,312.0,7.17,36.36,00:00
2020-03-05,PBR,11.74,Call,12.5,2020-04-03,29.0,0.34,0.39,0.44,0.37,934.0,131.0,7.13,49.56,00:00
2020-03-05,KR,33.47,Call,33.5,2020-03-13,8.0,0.35,0.88,1.4,1.26,714.0,101.0,7.07,64.21,00:00
2020-03-05,ZNGA,7.23,Call,7.5,2020-03-20,15.0,0.17,0.2,0.22,0.21,2894.0,410.0,7.06,54.71,00:00
2020-03-05,IBM,129.55,Call,133.0,2020-03-06,1.0,0.07,0.19,0.3,0.31,2906.0,412.0,7.05,51.5,00:00
2020-03-05,MPC,41.21,Call,45.0,2021-01-15,316.0,4.5,4.75,5.0,4.55,1031.0,147.0,7.01,38.04,00:00
2020-03-05,DIS,113.98,Put,95.0,2020-07-17,134.0,3.15,3.28,3.4,3.5,720.0,103.0,6.99,41.91,00:00
2020-03-05,CCL,27.87,Put,28.5,2020-03-20,15.0,2.2,2.5,2.8,2.75,1166.0,170.0,6.86,106.94,00:00
2020-03-05,NFLX,372.78,Call,410.0,2020-03-13,8.0,1.33,1.64,1.95,1.55,8840.0,1289.0,6.86,51.72,00:00
2020-03-05,PEP,138.1,Call,142.0,2020-03-06,1.0,0.12,0.16,0.2,0.16,1807.0,264.0,6.84,42.68,00:00
2020-03-05,FB,185.17,Call,187.5,2020-03-06,1.0,1.0,1.1,1.2,1.25,5126.0,753.0,6.81,57.07,00:00
2020-03-05,ENPH,56.69,Put,57.5,2020-03-20,15.0,4.6,4.8,5.0,5.0,2087.0,307.0,6.8,99.89,00:00
2020-03-05,CCL,27.87,Put,22.5,2020-04-17,43.0,1.8,1.88,1.95,1.8,4819.0,710.0,6.79,115.15,00:00
2020-03-05,BC,49.79,Put,45.0,2020-03-20,15.0,0.8,1.0,1.2,1.2,1017.0,151.0,6.74,78.88,00:00
2020-03-05,VIRT,23.37,Call,25.0,2020-03-20,15.0,0.6,0.73,0.85,0.7,1359.0,202.0,6.73,69.49,00:00
2020-03-05,XOM,50.11,Call,51.5,2020-03-13,8.0,0.9,1.12,1.34,0.96,1578.0,236.0,6.69,51.7,00:00
2020-03-05,AAL,16.04,Call,17.0,2020-03-06,1.0,0.17,0.21,0.24,0.17,2276.0,343.0,6.64,148.86,00:00
2020-03-05,BAC,26.78,Put,24.0,2020-03-13,8.0,0.26,0.28,0.29,0.31,2320.0,350.0,6.63,82.45,00:00
2020-03-05,PBR,11.74,Call,12.0,2020-03-20,15.0,0.29,0.47,0.65,0.41,706.0,107.0,6.6,54.43,00:00
2020-03-05,C,63.49,Call,63.0,2020-03-06,1.0,0.71,1.36,2.0,1.4,789.0,120.0,6.58,86.08,00:00
2020-03-05,AMZN,1924.03,Call,1940.0,2020-03-06,1.0,10.0,11.7,13.4,10.21,2474.0,381.0,6.49,42.1,00:00
2020-03-05,BA,260.37,Call,275.0,2020-03-06,1.0,1.01,1.17,1.32,1.2,4537.0,699.0,6.49,103.84,00:00
2020-03-05,DIS,113.98,Put,107.0,2020-03-13,8.0,1.34,1.43,1.51,1.4,1399.0,219.0,6.39,60.7,00:00
2020-03-05,AIG,40.65,Put,40.0,2020-03-06,1.0,0.23,0.42,0.6,0.45,1560.0,245.0,6.37,86.71,00:00
2020-03-05,ATVI,61.52,Call,65.0,2020-03-13,8.0,0.46,0.58,0.69,0.4,3266.0,513.0,6.37,41.61,00:00
2020-03-05,CGC,16.8,Put,10.0,2020-04-17,43.0,0.15,0.19,0.22,0.16,25074.0,3971.0,6.31,106.09,00:00
2020-03-05,AAL,16.04,Call,19.0,2020-03-13,8.0,0.11,0.28,0.45,0.24,2443.0,389.0,6.28,113.32,00:00
2020-03-05,CCL,27.87,Put,28.0,2020-03-13,8.0,1.8,1.88,1.95,1.9,1020.0,163.0,6.26,111.62,00:00
2020-03-05,CGC,16.8,Put,12.5,2020-04-17,43.0,0.46,0.48,0.5,0.49,23107.0,3711.0,6.23,97.32,00:00
2020-03-05,ZM,125.0,Call,126.0,2020-03-06,1.0,2.4,2.9,3.4,3.3,1326.0,214.0,6.2,144.14,00:00
2020-03-05,AA,11.89,Put,12.0,2020-03-06,1.0,0.3,0.63,0.95,0.3,666.0,108.0,6.17,96.76,00:00
2020-03-05,DIS,113.98,Call,116.0,2020-03-13,8.0,2.26,2.43,2.6,2.28,862.0,140.0,6.16,46.73,00:00
2020-03-05,TSLA,724.54,Call,735.0,2020-03-06,1.0,8.5,8.75,9.0,8.75,3421.0,570.0,6.0,87.42,00:00
2020-03-05,HAL,14.74,Call,16.0,2020-03-20,15.0,0.41,0.44,0.46,0.43,7040.0,1194.0,5.9,74.43,00:00
2020-03-05,GE,10.08,Put,10.0,2020-03-13,8.0,0.4,0.42,0.43,0.43,13771.0,2351.0,5.86,79.41,00:00
2020-03-05,GILD,76.13,Call,78.5,2020-03-13,8.0,1.34,1.54,1.73,1.26,603.0,104.0,5.8,49.06,00:00
2020-03-05,WFC,38.9,Put,37.5,2020-05-15,71.0,2.11,2.34,2.58,2.32,1500.0,260.0,5.77,45.03,00:00
2020-03-05,FB,185.17,Call,185.0,2020-04-17,43.0,10.2,10.5,10.8,10.4,1724.0,301.0,5.73,40.09,00:00
2020-03-05,BA,260.37,Call,282.5,2020-03-06,1.0,0.49,0.54,0.6,0.52,2028.0,354.0,5.73,108.41,00:00
2020-03-05,SLB,25.83,Call,24.0,2020-03-06,1.0,1.79,1.9,2.0,1.76,863.0,151.0,5.72,0.0,00:00
2020-03-05,BA,260.37,Put,255.0,2020-03-06,1.0,3.55,3.78,4.0,3.6,1842.0,323.0,5.7,109.75,00:00
2020-03-05,COST,315.76,Call,307.5,2020-03-13,8.0,15.45,15.98,16.5,16.0,632.0,112.0,5.64,61.59,00:00
2020-03-05,GM,30.1,Call,29.5,2020-03-06,1.0,0.76,0.85,0.93,0.89,1404.0,251.0,5.59,86.25,00:00
2020-03-05,CSCO,39.57,Call,40.5,2020-03-06,1.0,0.11,0.15,0.18,0.14,3241.0,583.0,5.56,55.46,00:00
2020-03-05,SLB,25.83,Put,21.5,2020-03-20,15.0,0.24,0.26,0.27,0.3,774.0,140.0,5.53,85.41,00:00
2020-03-05,AAL,16.04,Put,6.0,2020-08-21,169.0,0.39,0.45,0.5,0.47,658.0,120.0,5.48,124.83,00:00
2020-03-05,MIC,39.88,Call,40.0,2020-03-20,15.0,1.05,1.25,1.45,1.3,667.0,122.0,5.47,41.72,00:00
2020-03-05,GLW,24.6,Put,24.0,2020-03-06,1.0,0.11,0.18,0.25,0.15,797.0,147.0,5.42,74.24,00:00
2020-03-05,MS,42.59,Call,52.5,2020-05-15,71.0,0.25,0.32,0.38,0.3,1148.0,212.0,5.42,34.8,00:00
2020-03-05,WY,26.96,Call,27.0,2020-04-17,43.0,1.15,1.33,1.5,1.2,3999.0,741.0,5.4,32.4,00:00
2020-03-05,BAC,26.78,Put,26.5,2020-03-13,8.0,0.79,0.82,0.84,0.85,2237.0,415.0,5.39,62.82,00:00
2020-03-05,JNPR,21.59,Put,22.0,2020-03-06,1.0,0.45,0.87,1.29,0.45,1127.0,210.0,5.37,38.27,00:00
2020-03-05,DGX,115.68,Call,125.0,2020-03-20,15.0,1.5,1.65,1.8,1.65,826.0,154.0,5.36,51.03,00:00
2020-03-05,PG,121.63,Put,110.0,2020-03-13,8.0,0.49,0.7,0.9,0.78,610.0,114.0,5.35,63.33,00:00
2020-03-05,CCL,27.87,Put,27.5,2020-03-20,15.0,2.1,2.23,2.35,2.05,1365.0,256.0,5.33,100.18,00:00
2020-03-05,MRVL,24.93,Call,27.0,2020-03-13,8.0,0.0,0.14,0.27,0.19,2318.0,435.0,5.33,55.6,00:00
2020-03-05,PANW,181.05,Put,160.0,2020-04-17,43.0,2.74,3.2,3.65,3.05,606.0,115.0,5.27,44.79,00:00
2020-03-05,NEPT,2.01,Call,2.0,2021-01-15,316.0,0.55,0.6,0.65,0.6,10396.0,1984.0,5.24,80.49,00:00
2020-03-05,AAL,16.04,Put,11.0,2020-03-20,15.0,0.28,0.32,0.35,0.33,572.0,110.0,5.2,172.86,00:00
2020-03-05,JD,44.62,Call,49.0,2020-04-17,43.0,1.24,1.29,1.34,1.28,1665.0,321.0,5.19,46.0,00:00
2020-03-05,CCL,27.87,Put,25.5,2020-03-06,1.0,0.25,0.28,0.3,0.3,558.0,108.0,5.17,198.19,00:00
2020-03-05,IBM,129.55,Call,139.0,2020-03-20,15.0,0.7,0.9,1.09,0.76,2566.0,497.0,5.16,34.12,00:00
2020-03-05,TWO,14.01,Call,14.0,2020-09-18,197.0,0.3,0.85,1.4,0.45,597.0,116.0,5.15,9.37,00:00
2020-03-05,AMZN,1924.03,Put,1930.0,2020-03-06,1.0,17.0,18.75,20.5,18.9,2596.0,505.0,5.14,39.22,00:00
2020-03-05,UNP,154.96,Call,155.0,2020-03-06,1.0,1.38,1.7,2.02,2.02,566.0,111.0,5.1,62.94,00:00
2020-03-05,CMCSA,40.77,Put,40.5,2020-03-20,15.0,1.32,1.5,1.67,1.4,654.0,129.0,5.07,47.0,00:00
2020-03-05,AAL,16.04,Put,13.0,2020-03-20,15.0,0.57,0.6,0.63,0.61,3445.0,679.0,5.07,147.75,00:00
2020-03-05,ZM,125.0,Put,110.0,2020-03-13,8.0,2.2,2.35,2.5,2.3,559.0,111.0,5.04,109.14,00:00
2020-03-05,VNOM,17.0,Call,18.0,2020-03-20,15.0,0.35,0.45,0.55,0.35,1412.0,281.0,5.02,52.47,00:00
2020-03-05,ZM,125.0,Call,140.0,2020-03-13,8.0,2.3,2.65,3.0,2.75,817.0,169.0,4.83,104.14,00:00
2020-03-05,JPM,113.97,Call,114.0,2020-03-20,15.0,4.5,4.93,5.35,4.7,753.0,157.0,4.8,50.79,00:00
2020-03-05,C,63.49,Call,64.5,2020-03-06,1.0,0.3,0.52,0.73,0.49,1483.0,309.0,4.8,67.8,00:00
2020-03-05,BYND,95.87,Put,98.0,2020-03-13,8.0,4.95,5.35,5.75,5.65,508.0,106.0,4.79,79.09,00:00
2020-03-05,NVDA,273.29,Put,265.0,2020-09-18,197.0,32.15,32.38,32.6,30.85,850.0,178.0,4.78,45.87,00:00
2020-03-05,CSX,68.96,Put,60.0,2020-03-20,15.0,0.61,0.71,0.8,0.7,1038.0,217.0,4.78,67.43,00:00
2020-03-05,PINS,18.94,Call,19.0,2020-03-06,1.0,0.3,0.35,0.4,0.3,1487.0,313.0,4.75,83.0,00:00
2020-03-05,NIO,3.72,Call,3.5,2020-03-13,8.0,0.33,0.41,0.49,0.39,2782.0,590.0,4.72,124.45,00:00
2020-03-05,ADSK,184.04,Call,205.0,2020-03-13,8.0,1.03,1.12,1.21,1.3,1431.0,304.0,4.71,66.0,00:00
2020-03-05,FSLR,45.47,Call,51.0,2020-03-20,15.0,0.44,0.57,0.69,0.42,591.0,127.0,4.65,54.69,00:00
2020-03-05,CCL,27.87,Put,29.5,2020-03-13,8.0,2.3,2.58,2.85,2.65,572.0,124.0,4.61,101.67,00:00
2020-03-05,WORK,28.39,Call,33.0,2020-03-06,1.0,0.0,0.03,0.05,0.1,563.0,123.0,4.58,196.35,00:00
2020-03-05,GE,10.08,Call,10.5,2020-03-13,8.0,0.24,0.24,0.24,0.24,3965.0,865.0,4.58,68.41,00:00
2020-03-05,JPM,113.97,Put,113.0,2020-03-06,1.0,0.4,1.31,2.22,0.93,1270.0,278.0,4.57,57.49,00:00
2020-03-05,CCL,27.87,Put,29.5,2020-03-20,15.0,2.6,2.95,3.3,3.1,664.0,146.0,4.55,95.09,00:00
2020-03-05,AMC,4.92,Put,3.0,2020-04-17,43.0,0.25,0.33,0.4,0.36,1079.0,239.0,4.51,202.64,00:00
2020-03-05,UAL,51.59,Put,32.0,2020-03-13,8.0,0.2,0.34,0.48,0.37,718.0,161.0,4.46,214.45,00:00
2020-03-05,JPM,113.97,Call,116.0,2020-03-06,1.0,0.1,0.37,0.63,0.55,1391.0,313.0,4.44,55.12,00:00
2020-03-05,BP,32.6,Put,31.0,2020-10-16,225.0,2.5,2.64,2.77,2.56,1314.0,297.0,4.42,34.66,00:00
2020-03-05,KGC,5.73,Call,5.5,2020-03-06,1.0,0.23,0.26,0.28,0.24,1754.0,397.0,4.42,63.51,00:00
2020-03-05,COST,315.76,Call,405.0,2020-03-20,15.0,0.23,0.24,0.24,0.24,1817.0,412.0,4.41,57.24,00:00
2020-03-05,EPD,23.67,Put,22.5,2020-03-20,15.0,0.55,0.63,0.7,0.6,537.0,122.0,4.4,58.53,00:00
2020-03-05,DIS,113.98,Call,119.0,2020-03-13,8.0,1.21,1.39,1.57,1.21,775.0,178.0,4.35,44.8,00:00
2020-03-05,CPB,53.1,Call,53.5,2020-03-06,1.0,0.0,0.23,0.45,0.3,851.0,196.0,4.34,42.45,00:00
