Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
INDA,31.99,Put,29.00,09/18/20,198,0.95,1.03,1.10,1.10,6641,101,65.75,26.75%,03/04/20
TQQQ,88.89,Put,85.00,03/13/20,9,4.00,4.13,4.25,4.15,20608,320,64.4,108.61%,03/04/20
FEZ,37.57,Call,39.00,08/21/20,170,0.88,0.97,1.06,0.97,5263,172,30.6,14.12%,03/04/20
VXX,23,Put,21.00,03/27/20,23,1.06,1.08,1.10,1.17,13358,458,29.17,92.10%,03/04/20
TBT,20.2,Call,21.00,03/13/20,9,0.17,0.19,0.21,0.18,2359,168,14.04,36.77%,03/04/20
SPY,312.86,Put,308.50,03/06/20,2,2.50,2.55,2.60,2.46,2631,274,9.6,46.90%,03/04/20
GREK,8.02,Call,9.00,06/19/20,107,0.15,0.22,0.30,0.30,1996,210,9.5,36.42%,03/04/20
TLT,154.67,Put,160.00,03/06/20,2,5.30,5.5,5.70,5.55,2703,295,9.16,37.42%,03/04/20
SPLV,58.7,Put,58.00,03/20/20,16,0.80,0.9,1.00,1.10,1011,112,9.03,29.58%,03/04/20
SPY,312.86,Call,360.00,12/31/20,302,2.19,2.32,2.44,2.30,3330,375,8.88,12.14%,03/04/20
XLY,120.95,Call,125.00,09/18/20,198,3.20,5.48,7.75,5.20,1453,164,8.86,18.25%,03/04/20
IWM,152.16,Call,157.50,03/13/20,9,0.48,0.57,0.65,0.60,2489,287,8.67,24.29%,03/04/20
SPY,312.86,Put,309.50,03/06/20,2,2.84,2.89,2.94,2.83,1952,229,8.52,46.95%,03/04/20
DIA,270.89,Put,263.00,03/06/20,2,1.20,1.46,1.71,1.21,1100,142,7.75,50.44%,03/04/20
SPY,312.86,Put,235.00,03/18/20,14,0.18,0.19,0.20,0.17,1018,132,7.71,66.44%,03/04/20
FXI,41.26,Call,42.00,09/18/20,198,2.00,2.02,2.04,1.97,4606,619,7.44,17.63%,03/04/20
TQQQ,88.89,Put,85.00,03/06/20,2,2.06,2.08,2.10,2.10,4392,626,7.02,145.35%,03/04/20
QQQ,218.22,Call,223.50,03/06/20,2,0.40,0.44,0.47,0.65,1361,196,6.94,37.18%,03/04/20
QQQ,218.22,Put,208.00,03/13/20,9,2.19,2.22,2.25,2.18,5238,838,6.25,44.75%,03/04/20
VXX,23,Call,35.00,04/03/20,30,0.42,0.44,0.46,0.38,727,119,6.11,109.93%,03/04/20
IYR,95.12,Put,91.50,03/06/20,2,0.25,0.29,0.33,0.36,3154,534,5.91,55.89%,03/04/20
XRT,41.01,Call,40.00,04/17/20,44,0.00,1.48,2.96,1.75,607,108,5.62,20.01%,03/04/20
UVXY,23.25,Put,23.50,03/06/20,2,1.28,1.64,2.00,1.58,571,104,5.49,210.67%,03/04/20
UVXY,23.25,Call,23.50,03/13/20,9,2.30,2.58,2.85,2.51,799,148,5.4,180.13%,03/04/20
TLT,154.67,Put,154.00,03/13/20,9,1.38,1.43,1.48,1.46,2521,468,5.39,18.65%,03/04/20
SPY,312.86,Call,385.00,07/17/20,135,0.12,0.16,0.20,0.12,4129,769,5.37,14.54%,03/04/20
TLT,154.67,Put,157.00,03/06/20,2,2.57,2.7,2.83,2.70,1962,369,5.32,26.17%,03/04/20
SPY,312.86,Put,306.50,03/06/20,2,1.94,1.98,2.02,1.94,2398,471,5.09,48.33%,03/04/20
KRE,48.44,Put,44.00,03/06/20,2,0.00,1.21,2.42,0.22,650,129,5.04,110.18%,03/04/20
SPY,312.86,Put,302.00,04/03/20,30,6.99,7.06,7.12,7.00,1092,224,4.88,33.57%,03/04/20
SMH,138.83,Call,175.00,08/21/20,170,0.65,0.74,0.83,0.66,691,142,4.87,21.73%,03/04/20
SPY,312.86,Put,305.50,03/06/20,2,1.70,1.73,1.77,1.70,3690,769,4.8,48.77%,03/04/20
XLP,63.22,Put,62.50,03/06/20,2,0.09,2.55,5.00,0.41,2060,430,4.79,38.52%,03/04/20
QQQ,218.22,Put,213.50,03/06/20,2,1.52,1.56,1.60,1.57,1005,212,4.74,53.84%,03/04/20
QQQ,218.22,Call,205.00,03/13/20,9,13.62,13.77,13.92,12.95,2289,483,4.74,0.66%,03/04/20
XLU,68.72,Call,68.50,03/20/20,16,0.00,2.18,4.35,1.35,733,155,4.73,21.13%,03/04/20
SLV,16.09,Put,18.00,01/21/22,688,3.10,3.15,3.20,3.20,1005,213,4.72,27.01%,03/04/20
SPXS,13.67,Call,13.00,06/19/20,107,2.25,2.35,2.45,2.35,3043,650,4.68,68.67%,03/04/20
TECS,6.1,Call,7.00,03/13/20,9,0.15,0.22,0.30,0.35,511,110,4.65,173.94%,03/04/20
SPY,312.86,Call,309.00,03/09/20,5,6.14,6.21,6.27,6.33,5840,1260,4.63,28.01%,03/04/20
BKLN,22.3,Call,23.00,04/17/20,44,0.00,0.08,0.15,0.20,1263,274,4.61,14.49%,03/04/20
SPY,312.86,Put,265.00,03/18/20,14,0.68,0.69,0.70,0.66,2424,528,4.59,52.60%,03/04/20
