Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
SPY,336.95,Call,335.50,02/21/20,1,1.71,1.73,1.75,1.80,9141,172,53.15,12.50%,02/20/20
EWZ,42.84,Call,45.50,03/13/20,22,0.14,0.16,0.17,0.18,6113,179,34.15,22.59%,02/20/20
NUGT,35.26,Call,37.50,02/28/20,8,0.69,0.75,0.82,0.81,3158,104,30.37,78.97%,02/20/20
UNG,14.91,Put,14.00,03/06/20,15,0.11,0.15,0.18,0.13,2492,116,21.48,38.34%,02/20/20
GLD,152.41,Put,149.00,05/15/20,85,1.59,1.61,1.62,1.62,3125,161,19.41,11.29%,02/20/20
XLK,101.72,Put,100.00,03/13/20,22,1.10,1.29,1.48,1.64,3773,202,18.68,24.82%,02/20/20
GLD,152.41,Put,151.00,03/06/20,15,0.84,0.85,0.86,0.86,4023,231,17.42,12.26%,02/20/20
XLP,64.54,Call,64.50,03/27/20,36,0.42,0.71,0.99,0.80,2115,123,17.2,8.85%,02/20/20
XLU,70.46,Call,71.00,03/27/20,36,0.40,0.76,1.12,0.67,2000,121,16.53,9.67%,02/20/20
SPY,336.95,Call,336.50,02/21/20,1,1.05,1.06,1.07,1.10,18262,1391,13.13,12.02%,02/20/20
SPY,336.95,Put,333.50,02/21/20,1,0.21,0.22,0.23,0.22,9489,783,12.12,18.06%,02/20/20
TUR,26.54,Put,22.00,05/15/20,85,0.25,0.33,0.40,0.35,2340,210,11.14,38.56%,02/20/20
GLD,152.41,Call,157.00,02/28/20,8,0.20,0.21,0.21,0.24,2581,234,11.03,17.09%,02/20/20
ASHR,29.02,Call,34.00,07/17/20,148,0.21,0.25,0.28,0.25,1061,100,10.61,20.45%,02/20/20
TLT,146.67,Call,139.00,05/15/20,85,8.30,8.48,8.65,8.35,1042,107,9.74,6.25%,02/20/20
UNG,14.91,Put,14.50,03/06/20,15,0.26,0.28,0.29,0.27,970,103,9.42,37.85%,02/20/20
QQQ,234.78,Call,242.50,03/13/20,22,0.83,0.86,0.88,0.91,1593,172,9.26,14.62%,02/20/20
QQQ,234.78,Put,232.50,03/06/20,15,2.64,2.67,2.69,2.80,5435,633,8.59,20.71%,02/20/20
GDX,29.75,Put,25.50,09/18/20,211,0.57,0.59,0.61,0.60,1927,228,8.45,25.88%,02/20/20
SPY,336.95,Put,336.50,02/21/20,1,0.85,0.87,0.88,0.85,17257,2046,8.43,15.19%,02/20/20
TUR,26.54,Put,18.00,08/21/20,183,0.20,0.28,0.35,0.25,2549,304,8.38,41.23%,02/20/20
SPY,336.95,Put,335.00,07/17/20,148,11.22,11.29,11.35,11.12,1151,139,8.28,15.65%,02/20/20
SPY,336.95,Put,335.50,02/21/20,1,0.53,0.54,0.55,0.53,10227,1261,8.11,15.86%,02/20/20
SPY,336.95,Put,333.00,02/24/20,4,0.44,0.45,0.45,0.45,13285,1785,7.44,12.76%,02/20/20
DIA,292.78,Put,293.00,02/28/20,8,2.79,2.88,2.97,2.75,2243,304,7.38,15.63%,02/20/20
QQQ,234.78,Put,228.00,03/27/20,36,3.13,3.16,3.18,3.11,1064,154,6.91,20.89%,02/20/20
SPY,336.95,Put,330.00,03/18/20,27,2.62,2.63,2.64,2.53,3226,481,6.71,15.10%,02/20/20
SPY,336.95,Put,320.00,03/18/20,27,1.27,1.29,1.30,1.49,1128,173,6.52,19.69%,02/20/20
SPY,336.95,Put,331.00,03/18/20,27,2.82,2.83,2.84,3.56,744,116,6.41,17.28%,02/20/20
SPY,336.95,Put,332.00,03/18/20,27,3.04,3.05,3.07,3.17,653,103,6.34,15.06%,02/20/20
IWM,168.81,Put,167.00,03/13/20,22,1.81,1.83,1.85,1.81,2478,394,6.29,16.40%,02/20/20
NUGT,35.26,Call,35.50,03/06/20,15,1.97,2.07,2.16,2.08,706,114,6.19,76.44%,02/20/20
UVXY,11.27,Call,11.50,02/28/20,8,0.56,0.66,0.75,0.58,8787,1436,6.12,102.24%,02/20/20
XBI,97.81,Put,97.50,02/21/20,1,0.41,0.44,0.46,0.60,1132,186,6.09,36.64%,02/20/20
TQQQ,114.7,Call,120.00,02/28/20,8,1.08,1.22,1.35,1.23,4478,735,6.09,46.06%,02/20/20
QQQ,234.78,Call,253.00,04/17/20,57,0.43,0.45,0.46,0.42,4269,717,5.95,12.69%,02/20/20
IWM,168.81,Put,160.50,02/28/20,8,0.14,0.15,0.16,0.14,2227,381,5.85,22.15%,02/20/20
GLD,152.41,Put,148.00,05/15/20,85,1.27,1.29,1.30,1.28,5882,1068,5.51,11.10%,02/20/20
SPY,336.95,Call,338.50,02/21/20,1,0.21,0.22,0.22,0.21,26644,4835,5.51,10.43%,02/20/20
SPY,336.95,Put,311.00,03/18/20,27,0.70,0.71,0.72,0.94,542,101,5.37,23.18%,02/20/20
LABU,60.63,Call,60.50,02/21/20,1,1.05,1.15,1.25,1.60,595,112,5.31,121.19%,02/20/20
QQQ,234.78,Put,230.00,02/28/20,8,1.04,1.06,1.08,1.01,63654,12300,5.18,20.40%,02/20/20
IWM,168.81,Put,169.50,02/21/20,1,1.03,1.07,1.11,0.85,4148,804,5.16,12.05%,02/20/20
IWM,168.81,Call,178.00,04/17/20,57,0.47,0.48,0.49,0.50,3041,608,5,11.22%,02/20/20
SPY,336.95,Call,338.00,03/11/20,20,3.26,3.28,3.29,3.30,2588,533,4.86,11.53%,02/20/20
QQQ,234.78,Call,250.00,03/27/20,36,0.30,0.32,0.33,0.30,519,108,4.81,13.04%,02/20/20
SPY,336.95,Put,313.00,03/27/20,36,1.32,1.33,1.34,1.36,647,145,4.46,21.12%,02/20/20
SPY,336.95,Put,328.00,03/18/20,27,2.25,2.26,2.28,2.88,1460,328,4.45,18.15%,02/20/20
