Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
$SPX,2398.18,Put,700.00,04/17/20,30,0.10,0.13,0.15,0.10,49421,340,145.36,135.38%,"16:23 ET"
$SPX,2398.18,Put,800.00,04/17/20,30,0.15,0.18,0.20,0.15,49816,570,87.4,125.21%,"16:21 ET"
$VIX,76.05,Put,47.50,06/17/20,91,10.50,10.95,11.40,10.30,11264,134,84.06,187.24%,"15:57 ET"
$SPX,2398.18,Put,900.00,04/17/20,30,0.30,0.32,0.35,0.30,38721,638,60.69,119.36%,"16:29 ET"
$SPX,2398.18,Put,2220.00,03/20/20,2,27.00,28.65,30.30,26.97,17901,327,54.74,130.88%,"16:29 ET"
$VIX,76.05,Put,62.50,05/20/20,63,15.80,16.25,16.70,16.65,5483,131,41.85,207.14%,"16:15 ET"
$SPX,2398.18,Call,2300.00,03/20/20,2,143.90,147.65,151.40,150.88,7789,193,40.36,135.06%,"16:29 ET"
$SPX,2398.18,Put,1100.00,04/17/20,30,0.80,1.1,1.40,1.05,34125,867,39.36,109.47%,"16:21 ET"
$VIX,76.05,Put,75.00,04/15/20,28,17.10,17.5,17.90,17.40,5717,182,31.41,220.58%,"16:29 ET"
$SPX,2398.18,Call,2420.00,03/18/20,0,0.55,2.53,4.50,0.59,3591,126,28.5,0.00%,"16:14 ET"
$SPX,2398.18,Put,2280.00,03/18/20,0,0.00,0.13,0.25,0.10,3016,127,23.75,0.00%,"16:13 ET"
$SPX,2398.18,Put,800.00,07/17/20,121,8.60,10,11.40,9.40,3183,141,22.57,102.44%,"13:37 ET"
$VIX,76.05,Put,55.00,06/17/20,91,15.20,15.65,16.10,15.83,3497,166,21.07,202.92%,"16:26 ET"
$SPX,2398.18,Call,2385.00,06/19/20,93,309.40,312.8,316.20,315.06,3482,174,20.01,63.41%,"16:29 ET"
$SPX,2398.18,Put,2315.00,06/19/20,93,267.70,270.7,273.70,288.67,3000,154,19.48,70.69%,"16:13 ET"
$SPX,2398.18,Call,2300.00,06/19/20,93,361.10,365.2,369.30,353.49,12114,632,19.17,63.10%,"16:19 ET"
$SPX,2398.18,Call,2400.00,03/18/20,0,10.00,14.55,19.10,14.50,26819,1478,18.15,0.00%,"16:14 ET"
$SPX,2398.18,Put,2240.00,03/18/20,0,0.00,4.9,9.80,0.15,2966,167,17.76,0.00%,"16:12 ET"
$SPX,2398.18,Call,2350.00,03/18/20,0,59.00,64,69.00,40.80,2198,124,17.73,0.00%,"16:14 ET"
$SPX,2398.18,Put,2220.00,03/18/20,0,0.00,0.13,0.25,0.12,4280,246,17.4,0.00%,"16:09 ET"
$SPX,2398.18,Put,1475.00,04/17/20,30,8.70,9.6,10.50,13.23,4183,241,17.36,106.31%,"15:39 ET"
$SPX,2398.18,Put,2160.00,03/18/20,0,0.00,1,2.00,0.15,2249,132,17.04,0.00%,"16:07 ET"
$SPX,2398.18,Call,2410.00,03/18/20,0,2.65,5.23,7.80,2.70,2453,153,16.03,0.00%,"16:15 ET"
$SPX,2398.18,Put,2325.00,03/18/20,0,0.00,0.05,0.10,0.38,7796,544,14.33,0.00%,"16:12 ET"
$VIX,76.05,Put,60.00,05/20/20,63,14.20,14.65,15.10,14.87,10816,805,13.44,203.41%,"16:29 ET"
$VIX,76.05,Call,75.00,03/25/20,7,4.50,6.75,9.00,8.00,1592,122,13.05,173.49%,"16:09 ET"
$SPX,2398.18,Put,2385.00,06/19/20,93,295.10,298.25,301.40,295.61,3477,274,12.69,64.15%,"16:29 ET"
$SPX,2398.18,Put,1775.00,04/17/20,30,33.70,35.4,37.10,42.80,3035,242,12.54,99.04%,"16:02 ET"
$SPX,2398.18,Put,1300.00,08/21/20,156,54.00,56.4,58.80,66.42,1212,101,12,86.19%,"16:03 ET"
$SPX,2398.18,Put,2200.00,03/20/20,2,24.00,25.55,27.10,23.00,18384,1651,11.14,131.52%,"16:28 ET"
$VIX,76.05,Call,67.50,05/20/20,63,11.70,12.15,12.60,11.91,4685,421,11.13,53.19%,"16:15 ET"
$SPX,2398.18,Put,2320.00,03/18/20,0,0.00,0.18,0.35,0.45,2105,192,10.96,0.00%,"16:13 ET"
$SPX,2398.18,Put,1940.00,04/17/20,30,59.40,61.4,63.40,64.00,1352,127,10.65,90.32%,"16:13 ET"
$SPX,2398.18,Put,2330.00,06/19/20,93,273.40,276.45,279.50,325.80,1783,169,10.55,76.97%,"15:52 ET"
$SPX,2398.18,Call,2455.00,03/18/20,0,0.00,0.5,1.00,0.27,1658,158,10.49,0.00%,"16:12 ET"
$SPX,2398.18,Call,2400.00,05/15/20,58,261.90,264.85,267.80,240.00,1911,183,10.44,62.58%,"16:12 ET"
$VIX,76.05,Put,50.00,06/17/20,91,12.00,12.45,12.90,12.54,3205,308,10.41,197.46%,"16:26 ET"
$SPX,2398.18,Call,2360.00,03/18/20,0,49.00,54,59.00,31.93,1287,128,10.05,0.00%,"16:14 ET"
$SPX,2398.18,Put,2320.00,06/19/20,93,269.60,272.6,275.60,304.11,1790,179,10,73.45%,"15:31 ET"
$SPX,2398.18,Put,1550.00,09/18/20,184,98.70,101.85,105.00,119.41,5040,523,9.64,76.70%,"16:03 ET"
$SPX,2398.18,Put,2000.00,03/25/20,7,25.10,26.25,27.40,33.99,1635,176,9.29,132.54%,"16:02 ET"
$SPX,2398.18,Put,1625.00,04/17/20,30,18.10,19.25,20.40,16.96,4208,462,9.11,93.48%,"16:10 ET"
$SPX,2398.18,Call,2360.00,06/19/20,93,324.40,327.8,331.20,312.67,2619,300,8.73,60.50%,"13:01 ET"
$SPX,2398.18,Call,2545.00,03/18/20,0,0.00,0.08,0.15,0.18,1639,188,8.72,0.00%,"16:04 ET"
$VIX,76.05,Call,47.50,06/17/20,91,14.50,14.95,15.40,17.50,11475,1358,8.45,0.00%,"15:50 ET"
$VIX,76.05,Put,29.00,06/17/20,91,2.25,2.58,2.90,2.54,39203,4881,8.03,174.25%,"15:17 ET"
