Date Inserted,Symbol,Price,Type,Strike,Exp Date,DTE,Bid,Midpoint,Ask,Last,Volume,Open Int,Vol/OI,IV,Time
2020-02-13,$SPX,3373.95,Call,3435.0,2020-03-20,36.0,19.3,19.5,19.7,19.7,7131.0,324.0,22.01,9.67,15:50
2020-02-13,$VIX,14.26,Call,23.0,2020-07-22,160.0,1.2,1.25,1.3,1.25,5000.0,248.0,20.16,88.51,15:12
2020-02-13,$SPX,3373.95,Put,3180.0,2020-03-20,36.0,13.2,13.35,13.5,14.8,7128.0,382.0,18.66,18.72,10:52
2020-02-13,$SPX,3373.95,Call,3445.0,2020-03-13,29.0,11.7,11.85,12.0,12.2,4763.0,346.0,13.77,9.34,16:16
2020-02-13,$SPX,3373.95,Put,2575.0,2020-03-06,22.0,0.25,0.28,0.3,0.25,3511.0,261.0,13.45,40.04,13:59
2020-02-13,$SPX,3373.95,Call,3390.0,2020-03-20,36.0,40.0,40.25,40.5,40.4,7126.0,539.0,13.22,10.59,15:53
2020-02-13,$SPX,3373.95,Put,3050.0,2020-03-20,36.0,6.2,6.3,6.4,6.4,7117.0,1305.0,5.45,21.83,16:15
2020-02-13,$SPX,3373.95,Call,3425.0,2020-03-02,18.0,8.3,8.45,8.6,9.55,1645.0,395.0,4.16,8.94,15:27
2020-02-13,$SPX,3373.95,Put,3385.0,2020-02-14,1.0,13.5,13.7,13.9,14.0,949.0,242.0,3.92,10.37,16:23
2020-02-13,$SPX,3373.95,Put,2790.0,2020-03-20,36.0,1.75,1.83,1.9,1.95,917.0,310.0,2.96,29.44,10:08
2020-02-13,$SPX,3373.95,Put,3375.0,2020-03-13,29.0,43.7,43.95,44.2,42.35,1912.0,717.0,2.67,11.75,13:55
2020-02-13,$SPX,3373.95,Put,2775.0,2020-02-28,15.0,0.2,0.23,0.25,0.25,3750.0,1446.0,2.59,36.08,16:24
2020-02-13,$SPX,3373.95,Put,3260.0,2020-02-14,1.0,0.1,0.13,0.15,0.15,4277.0,1690.0,2.53,27.9,16:12
2020-02-13,$SPX,3373.95,Put,3365.0,2020-02-14,1.0,5.0,5.15,5.3,5.0,4339.0,1815.0,2.39,12.54,16:20
2020-02-13,$SPX,3373.95,Put,3250.0,2020-03-13,29.0,16.5,16.65,16.8,16.1,5044.0,2145.0,2.35,16.07,16:16
2020-02-13,$SPX,3373.95,Put,3390.0,2020-02-14,1.0,16.9,17.25,17.6,18.8,627.0,306.0,2.05,12.24,16:14
2020-02-13,$SPX,3373.95,Put,3265.0,2020-02-19,6.0,1.4,1.48,1.55,1.45,671.0,349.0,1.92,15.84,14:21
2020-02-13,$SPX,3373.95,Put,3375.0,2020-02-19,6.0,16.0,16.25,16.5,17.0,594.0,353.0,1.68,9.88,16:07
2020-02-13,$SPX,3373.95,Put,3360.0,2020-03-18,34.0,41.5,41.85,42.2,39.3,538.0,330.0,1.63,11.92,14:25
2020-02-13,$SPX,3373.95,Put,3330.0,2020-02-28,15.0,15.8,15.95,16.1,15.5,1600.0,1154.0,1.39,12.5,15:27
2020-02-13,$SPX,3373.95,Put,3370.0,2020-02-14,1.0,6.4,6.6,6.8,6.5,3097.0,2240.0,1.38,11.94,16:22
